name,budget,seed,mode,hgs_cost,grader_cost,opt,n_routes,kmin,opt_routes,feasible,valid_perm,wall,gap_pct
XML100_2272_02,30.0,43,free,9472,9472,9467,14,14,15,1,1,30.019,0.05281504172388296
XML100_1324_14,2.0,44,free,10754,10754,10734,8,8,8,1,1,2.023,0.1863238308179616
XML100_1324_14,5.0,42,free,10749,10749,10734,8,8,8,1,1,5.02,0.13974287311347122
XML100_1324_14,5.0,43,free,10734,10734,10734,8,8,8,1,1,5.025,0.0
XML100_1324_14,5.0,44,free,10741,10741,10734,8,8,8,1,1,5.029,0.06521334078628657
XML100_2272_02,30.0,44,free,9478,9478,9467,14,14,15,1,1,30.016,0.11619309179254252
XML100_1324_14,10.0,42,free,10743,10743,10734,8,8,8,1,1,10.02,0.08384572386808273
XML100_1324_14,10.0,43,free,10734,10734,10734,8,8,8,1,1,10.033,0.0
XML100_1324_14,10.0,44,free,10737,10737,10734,8,8,8,1,1,10.02,0.027948574622694244
XML100_2335_14,2.0,42,free,8672,8672,8672,5,5,5,1,1,2.021,0.0
XML100_2335_14,2.0,43,free,8686,8686,8672,5,5,5,1,1,2.021,0.16143911439114392
XML100_3213_03,30.0,42,free,11615,11615,11615,10,10,10,1,1,30.023,0.0
XML100_3213_03,30.0,43,free,11628,11628,11615,10,10,10,1,1,30.039,0.11192423590185105
XML100_2335_14,2.0,44,free,8672,8672,8672,5,5,5,1,1,2.013,0.0
XML100_2335_14,5.0,42,free,8672,8672,8672,5,5,5,1,1,5.025,0.0
XML100_2335_14,5.0,43,free,8676,8676,8672,5,5,5,1,1,5.02,0.046125461254612546
XML100_2335_14,5.0,44,free,8672,8672,8672,5,5,5,1,1,5.023,0.0
XML100_3213_03,30.0,44,free,11628,11628,11615,10,10,10,1,1,30.036,0.11192423590185105
XML100_2335_14,10.0,42,free,8672,8672,8672,5,5,5,1,1,10.024,0.0
XML100_2335_14,10.0,43,free,8672,8672,8672,5,5,5,1,1,10.021,0.0
XML100_2335_14,10.0,44,free,8672,8672,8672,5,5,5,1,1,10.024,0.0
XML100_3346_03,2.0,42,free,8354,8354,8220,3,3,3,1,1,2.027,1.6301703163017032
XML100_1324_14,30.0,42,free,10734,10734,10734,8,8,8,1,1,30.019,0.0
XML100_3346_03,2.0,43,free,8248,8248,8220,3,3,3,1,1,2.021,0.340632603406326
XML100_1324_14,30.0,43,free,10734,10734,10734,8,8,8,1,1,30.027,0.0
XML100_3346_03,2.0,44,free,8311,8311,8220,3,3,3,1,1,2.02,1.1070559610705597
XML100_3346_03,5.0,42,free,8326,8326,8220,3,3,3,1,1,5.022,1.289537712895377
XML100_3346_03,5.0,43,free,8220,8220,8220,3,3,3,1,1,5.022,0.0
XML100_3346_03,5.0,44,free,8243,8243,8220,3,3,3,1,1,5.024,0.2798053527980535
XML100_1324_14,30.0,44,free,10734,10734,10734,8,8,8,1,1,30.024,0.0
XML100_3346_03,10.0,42,free,8220,8220,8220,3,3,3,1,1,10.014,0.0
XML100_3346_03,10.0,43,free,8220,8220,8220,3,3,3,1,1,10.034,0.0
XML100_3346_03,10.0,44,free,8220,8220,8220,3,3,3,1,1,10.025,0.0
XML100_1151_08,2.0,42,free,31907,31907,31527,24,23,24,1,1,2.024,1.2053160782821073
XML100_1151_08,2.0,43,free,32107,32107,31527,24,23,24,1,1,2.021,1.8396929615884796
XML100_2335_14,30.0,42,free,8672,8672,8672,5,5,5,1,1,30.018,0.0
XML100_2335_14,30.0,43,free,8672,8672,8672,5,5,5,1,1,30.023,0.0
XML100_1151_08,2.0,44,free,31939,31939,31527,24,23,24,1,1,2.018,1.306816379611127
XML100_1151_08,5.0,42,free,31763,31763,31527,24,23,24,1,1,5.031,0.7485647223015194
XML100_1151_08,5.0,43,free,31778,31778,31527,24,23,24,1,1,5.024,0.7961429885494973
XML100_1151_08,5.0,44,free,31785,31785,31527,24,23,24,1,1,5.024,0.8183461794652203
XML100_2335_14,30.0,44,free,8672,8672,8672,5,5,5,1,1,30.024,0.0
XML100_1151_08,10.0,42,free,31595,31595,31527,24,23,24,1,1,10.016,0.21568814032416658
XML100_1151_08,10.0,43,free,31693,31693,31527,24,23,24,1,1,10.014,0.526532813144289
XML100_1151_08,10.0,44,free,31544,31544,31527,24,23,24,1,1,10.014,0.053922035081041646
XML100_2162_03,2.0,42,free,18115,18115,17823,17,16,17,1,1,2.023,1.6383324917241766
XML100_3346_03,30.0,42,free,8220,8220,8220,3,3,3,1,1,30.018,0.0
XML100_3346_03,30.0,43,free,8220,8220,8220,3,3,3,1,1,30.019,0.0
XML100_2162_03,2.0,43,free,17965,17965,17823,17,16,17,1,1,2.024,0.7967233350165517
XML100_2162_03,2.0,44,free,17833,17833,17823,17,16,17,1,1,2.018,0.05610727711384166
XML100_2162_03,5.0,42,free,17911,17911,17823,17,16,17,1,1,5.02,0.49374403860180666
XML100_2162_03,5.0,43,free,17886,17886,17823,17,16,17,1,1,5.017,0.3534758458172025
XML100_2162_03,5.0,44,free,17823,17823,17823,17,16,17,1,1,5.026,0.0
XML100_3346_03,30.0,44,free,8220,8220,8220,3,3,3,1,1,30.023,0.0
XML100_2162_03,10.0,42,free,17860,17860,17823,17,16,17,1,1,10.018,0.20759692532121415
XML100_2162_03,10.0,43,free,17823,17823,17823,17,16,17,1,1,10.017,0.0
XML100_2162_03,10.0,44,free,17823,17823,17823,17,16,17,1,1,10.016,0.0
XML100_3173_18,2.0,42,free,20046,20046,20011,11,11,11,1,1,2.021,0.17490380290840038
XML100_3173_18,2.0,43,free,20161,20161,20011,11,11,11,1,1,2.026,0.7495877267502873
XML100_1151_08,30.0,42,free,31542,31542,31527,24,23,24,1,1,30.023,0.047578266247977924
XML100_1151_08,30.0,43,free,31572,31572,31527,24,23,24,1,1,30.024,0.14273479874393377
XML100_3173_18,2.0,44,free,20138,20138,20011,11,11,11,1,1,2.019,0.63465094198191
XML100_3173_18,5.0,42,free,20046,20046,20011,11,11,11,1,1,5.045,0.17490380290840038
XML100_3173_18,5.0,43,free,20161,20161,20011,11,11,11,1,1,5.027,0.7495877267502873
XML100_3173_18,5.0,44,free,20087,20087,20011,11,11,11,1,1,5.029,0.3797911148868123
XML100_1151_08,30.0,44,free,31544,31544,31527,24,23,24,1,1,30.019,0.053922035081041646
XML100_3173_18,10.0,42,free,20046,20046,20011,11,11,11,1,1,10.019,0.17490380290840038
XML100_3173_18,10.0,43,free,20122,20122,20011,11,11,11,1,1,10.014,0.5546949177952126
XML100_3173_18,10.0,44,free,20061,20061,20011,11,11,11,1,1,10.029,0.24986257558342911
XML100_1214_14,2.0,42,free,10304,10304,10108,8,8,8,1,1,2.03,1.9390581717451523
XML100_2162_03,30.0,42,free,17823,17823,17823,17,16,17,1,1,30.021,0.0
XML100_1214_14,2.0,43,free,10289,10289,10108,8,8,8,1,1,2.028,1.7906608626830234
XML100_2162_03,30.0,43,free,17823,17823,17823,17,16,17,1,1,30.023,0.0
XML100_1214_14,2.0,44,free,10204,10204,10108,8,8,8,1,1,2.024,0.9497427779976256
XML100_1214_14,5.0,42,free,10169,10169,10108,8,8,8,1,1,5.017,0.6034823901859913
XML100_1214_14,5.0,43,free,10173,10173,10108,8,8,8,1,1,5.018,0.6430550059358924
XML100_1214_14,5.0,44,free,10189,10189,10108,8,8,8,1,1,5.037,0.8013454689354966
XML100_2162_03,30.0,44,free,17823,17823,17823,17,16,17,1,1,30.018,0.0
XML100_1214_14,10.0,42,free,10125,10125,10108,8,8,8,1,1,10.017,0.16818361693707953
XML100_1214_14,10.0,43,free,10173,10173,10108,8,8,8,1,1,10.021,0.6430550059358924
XML100_1214_14,10.0,44,free,10176,10176,10108,8,8,8,1,1,10.026,0.6727344677483181
XML100_2225_02,2.0,42,free,6135,6135,6116,5,5,5,1,1,2.024,0.3106605624591236
XML100_2225_02,2.0,43,free,6120,6120,6116,5,5,5,1,1,2.017,0.06540222367560497
XML100_3173_18,30.0,42,free,20028,20028,20011,11,11,11,1,1,30.053,0.0849532756983659
XML100_3173_18,30.0,43,free,20046,20046,20011,11,11,11,1,1,30.026,0.17490380290840038
XML100_2225_02,2.0,44,free,6116,6116,6116,5,5,5,1,1,2.016,0.0
XML100_2225_02,5.0,42,free,6121,6121,6116,5,5,5,1,1,5.013,0.08175277959450622
XML100_2225_02,5.0,43,free,6116,6116,6116,5,5,5,1,1,5.02,0.0
XML100_2225_02,5.0,44,free,6116,6116,6116,5,5,5,1,1,5.022,0.0
XML100_3173_18,30.0,44,free,20041,20041,20011,11,11,11,1,1,30.06,0.14991754535005747
XML100_2225_02,10.0,42,free,6116,6116,6116,5,5,5,1,1,10.033,0.0
XML100_2225_02,10.0,43,free,6116,6116,6116,5,5,5,1,1,10.023,0.0
XML100_2225_02,10.0,44,free,6116,6116,6116,5,5,5,1,1,10.036,0.0
XML100_3236_19,2.0,42,free,8774,8774,8738,3,3,3,1,1,2.038,0.41199359121080337
XML100_3236_19,2.0,43,free,8847,8847,8738,3,3,3,1,1,2.021,1.2474250400549325
XML100_1214_14,30.0,42,free,10108,10108,10108,8,8,8,1,1,30.03,0.0
XML100_1214_14,30.0,43,free,10108,10108,10108,8,8,8,1,1,30.026,0.0
XML100_3236_19,2.0,44,free,8745,8745,8738,3,3,3,1,1,2.032,0.08010986495765622
XML100_3236_19,5.0,42,free,8753,8753,8738,3,3,3,1,1,5.017,0.17166399633783475
XML100_3236_19,5.0,43,free,8847,8847,8738,3,3,3,1,1,5.019,1.2474250400549325
XML100_3236_19,5.0,44,free,8745,8745,8738,3,3,3,1,1,5.032,0.08010986495765622
XML100_1214_14,30.0,44,free,10108,10108,10108,8,8,8,1,1,30.015,0.0
XML100_3236_19,10.0,42,free,8738,8738,8738,3,3,3,1,1,10.032,0.0
XML100_3236_19,10.0,43,free,8793,8793,8738,3,3,3,1,1,10.022,0.6294346532387274
XML100_3236_19,10.0,44,free,8745,8745,8738,3,3,3,1,1,10.034,0.08010986495765622
XML100_1341_04,2.0,42,free,32560,32560,32040,27,26,26,1,1,2.027,1.6229712858926342
XML100_1341_04,2.0,43,free,32571,32571,32040,27,26,26,1,1,2.045,1.6573033707865168
XML100_2225_02,30.0,42,free,6116,6116,6116,5,5,5,1,1,30.033,0.0
XML100_2225_02,30.0,43,free,6116,6116,6116,5,5,5,1,1,30.032,0.0
